Local authority code,LookUp_BoroughName,WardCode,WardName,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022,Year ending Mar 2023
E09000024,Merton,E05000474,Wimbledon Park,563735.32524,489719.78682,425460.26277,357189.62575,334838.42767,302350.95963,333291.04954,407779.92593,423112.61566,512327.49091,539075.32161,564506.98969,574819.16327,628029.93122,705194.93651,706679.57143,686335.61667,695566.53889,639322.40659,631001,646366.11475,647782.0102,646365.52062,677579.81223,711997.54202,764699.39394,808305.80365,807798.92857,837025.25455,799314.15287,791731.64596,813902.00581,819674.12435,842266.19786,848919.46707,889982.24828,894607.56198,858824.79508,877670.89262,868920.89032,906518.44444,895475.65455,889616.27586,922564.05594,882004.92537,950257.81452,972729.84733,966609.29545,983934.96875,1018394.2212,1093533.4206,1067796.6188,934313.95161,856207.73087,834206.96517,779220.81771,787409.85494,816914.80085,864765.06504,895154.36481,923225.20574
E09000024,Merton,E05000462,Hillside,565231.19608,599570.35429,566315.47692,609449.56989,598559.12941,542793.36986,517099.20183,525268.17763,542097.96471,560715.51282,589054.23464,564770.62025,523467.375,491899.07692,518687.85816,616360.44231,658508.25974,744419.90419,751423.81065,750966.66463,789745.85799,724068.57143,772193.52736,769789.97183,735804.72052,763020.46119,773486.38919,747293.21557,763176.31544,760239.38889,785636.18405,842564.94872,858262.4908,934391.5625,945792.575,1012111.0442,1085916.5579,1030698.8738,1030247.7879,935293.73214,861922.56452,873408.12598,841113.48485,893333.125,934954.61538,918471.07759,931028.63636,939534,960582.21239,1031111.7822,1011145.6383,1023190.4375,1031194.4234,958023.25325,1019895.9699,984846.94512,1059062.1125,1117637.0571,1067941.6403,1087107.1342,1034621.7803
E09000025,Newham,E05000479,Custom House,216392.83607,217048.19048,210565.13158,210776.21622,200555.69767,185717.07317,180008.40426,181792.55882,185126.58667,188740.18182,198849.98718,198637.75641,192033.07229,189319,181544.59091,188122.60377,199269.96,200973.10714,202449.08333,204491.19048,203107.41667,209378.0303,210284.65278,214527.03704,221951.01124,232913.62637,240653.57895,246824.16505,260311.91346,256488.53636,262970.31481,270183,276998.74757,295466.33333,313537.45122,329898.34615,338803.27869,342159.09091,339417.91045,340145.16129,345633.42857,349085.625,355884.91803,373452.66129,373360.08621,374610.57377,368639.93333,353270.01887,340887.51923,342447.8,355353.65854,356085.36585,380180.85106,378755.55556,374130,375657.8125,375071.92982,387702.10638,408476.16667,411874.98214,399333.22807
E09000025,Newham,E05000480,East Ham Central,226703.4798,228653.85128,229374.82278,224610.92857,218234.85542,198008.23333,186336.2069,188946.13636,197195.13889,203507.33333,207237.16216,209342.5,203265.625,200809.78873,197288.61842,198152.83133,199949.23529,199765.63291,207014.31507,207335.06757,209296,204406.84211,201221.17284,200995.0641,206074.27778,210785.05495,220188.27778,234906.83516,245512.46341,264919.11688,280548.17241,288312.22989,288872.9604,294389.46667,303841.31868,313163.93617,330778.17073,338285.88608,345789.15663,347581.39241,353421.86486,350114.24,352725.62319,355183.6338,354975.04348,350211.3,335522.82143,331246,331051.19048,347285,375453.84615,391782.35294,400175,404387.37864,403509.34579,401045.45455,401271.16495,392298.37313,399939.10606,414559.41791,406197.5102
E09000025,Newham,E05000476,Boleyn,223655.91795,223800.66279,218675.66929,210769.89362,201492.88462,190820.3125,192619.40299,195039.47368,199580.64516,200726.31579,200724.4898,201876.47059,197098.02632,201268.30769,205095.26316,208967.67241,213727.15942,210741.29231,211707.27869,209395.66154,210436.90385,209534.13846,211272.01449,216219.63095,222858.1413,225286.94231,227774.97561,237410.26613,243092.06154,253953.5124,271709.87603,281670.2459,290662.5,305334.85586,319560.48039,334805.74419,346997.45679,351376.42697,354639.55814,361109,355223.71053,380281.74107,372527.0354,388576.95631,390930.99024,388522.51163,391515.11111,382108.08642,379324.7561,352159.09091,446004.68148,451007.97857,449645.0473,453320.42647,442031.25,443875.69061,453906.57895,449879.32099,435466.48,431988.94231,424953.125
E09000025,Newham,E05000482,East Ham South,214749.50752,215096.02041,216586.2,213128.32061,203292.44318,192532.17742,180420.64286,182058.33333,185767.74194,183398.11927,189176.49533,192645.75758,193756.60194,200926.35417,193997.4,190007.37624,189959.62366,189560.34483,192793.75,196662.04819,197307.86517,198351.91176,196583.93204,200673.60169,205962.74074,209937.77397,220785.35948,227716.32468,234745.43537,245251.34043,253630.0922,263805.6371,272317.15672,277059.99167,282439.47368,294799.09091,312137.5,315590,322104.16667,315188.88889,317385.84906,325120.75758,327655.25974,347110.45455,347547.2973,347837.77027,348073.45588,336638.38462,339810.90323,339895.92727,341973.5,350738.77419,352403.08108,356368.14286,367582.96703,373923.62637,385689.82558,396254.71014,396594.6875,405862.15278,399330.64516
E09000025,Newham,E05000478,Canning Town South,298281.27714,307027.14662,313997.34334,304490.97222,306553.7027,266037.79104,244272.2,229080.97196,238328.54861,246332.91795,246410.64677,257063.80925,238683.65441,225381.11111,223446.62295,217418.22059,223861.43478,214291.92105,216689.60317,216915.21379,216862.46948,223281.23504,239991.16803,240394.21875,260074.05137,270224.21667,280211.02096,302717.11986,317661.78824,344600.26996,353650.7758,365057.01333,372837.05938,384255.92982,400086.23077,400102.62322,396037.0925,395736.64331,392992.43949,388218.55932,408047.15895,435168.17257,434357.25333,445638.10714,452068.61515,433347.93913,436347.8619,437942.74847,420164.77778,408375.86957,408966.82243,430100.6069,454832.24103,469775.29242,479963.01805,479481.17427,466914.63736,436981.6055,414344.95,396702.5,406863.57143
E09000025,Newham,E05000477,Canning Town North,207248.90857,206040.28324,202123.16667,198175.32039,190255.84127,178197.35484,168576.92308,196235.29412,197024.39024,204302.32558,210384.51923,199176.97917,198885.3125,190858.16667,185163.7069,186586.12069,186893.30882,186750,199093.15068,213515,221551.93548,233478.75,234747.46479,229093.30357,223358.05085,219392.80357,227380.2906,242225.56098,263615.33846,270675.88889,276669.19231,283247.80992,290725.83206,300953.5045,309417.00877,356578.72376,366503.82353,361625.9887,363537.1345,329918.32381,331138.97753,347502.48864,344538.72289,349292.07792,350029.21429,328682.93651,339489.16667,332585.13793,334538.96667,352497.55172,358519.22222,360103.84615,372663.5,366318.43038,363130.70968,372501.64211,356267.97753,356303.47222,353828.87324,355934.75342,377140.36486
E09000025,Newham,E05000481,East Ham North,227629.61111,232850.74747,235737.79268,246307.69231,237521.42857,226012.46875,220679.8,197452.73529,198930.30556,208232.37209,223833.18519,234864.11864,234518.24074,241399.66667,229823.23529,218968.18182,206721.25,204118.29268,211504.44444,212227.53191,222408.56522,217389.12766,220279.97917,222812.39583,220227.18182,230990,235257.40741,241507.31481,259213.52273,258373.85417,260639.9,277720.25,292876.28571,298671.44,326631.44,329531.25,332375,363999.9,358463.29268,369249.88095,366002.4359,360917.13158,379057.3125,380426.15909,398041.275,403496.9697,389142.09524,413541,408603.5,393431.09091,406173.07692,409580,418428.57143,438636.36364,442744.18605,429928.57143,430951.6129,399303.57143,410678.57143,449891.1,461669.03571
E09000025,Newham,E05000483,Forest Gate North,240880.20093,241194.12903,233440.41026,231132.98361,219803,217518.09091,212458.33333,208464.70423,205386.23864,207589.35789,220113.42424,227051.0241,237263.56164,231808.35443,227743.76543,229071.75532,227430.13514,232314.81132,238606.71875,242258.46591,243916.55172,251434.29293,248946.37795,253626.32143,266145.41096,274511.94904,302589.24503,322495.25309,335078.68391,342432.97727,352527.96471,366891.51553,376395.53012,394901.30921,407664.38514,412507.65693,425459.86842,423569.72477,431780.52885,441237.84404,461626.71569,473421.65657,468070.52941,463707.71111,464677.87234,462894.59794,455278.34783,479750.90476,487488.64423,486613.45918,494108.46237,489737.5,471293.68421,503032.4359,499674.33884,505706.02804,531698.83036,519008.23404,547181.35088,546038.12,556678.9375
E09000025,Newham,E05000475,Beckton,251391.25333,260156.15,262586.1608,260525.24219,222320.69737,219837.48718,229915.49367,227777.46067,224953.12727,223199.11667,221775.31452,228020.64844,231272.48361,235497.77391,231640.53125,224493.35246,220966.86087,211429.45161,206792.85714,210395.83333,223392.2069,210541.52113,211221.07778,210957.70103,206972.075,218143.84848,227227.3931,240644.98182,245087.81333,256194.55629,262922.68531,274488.68657,293857.06207,293617.98485,300097.22628,305852.51908,354039.5303,361180.07798,383662.38865,386652.1,378332.27612,386933.04348,361576.14943,374307.86517,368449.30682,358582.77215,360981.34722,348099.36765,366173.26667,374236.56034,377646.91781,386632.82741,395590.80402,397723.93886,400924.56019,399078.28571,390232.41772,387303.39706,391410.72441,399464.7541,397869.14894
E09000025,Newham,E05000484,Forest Gate South,249895.37576,250695.62577,253174.22464,252490.13889,248798.73563,227547.66176,209564.45763,219398.75676,223822.34211,239666.92683,244823.62222,251850.30952,229435.48936,220134.30108,224162.24719,222977.91209,253904.53608,264357.5,260011.96429,247953.42697,241399.46429,248785.57471,249149.0099,264816.91892,278563.09924,281095.15484,295435.24859,295503.16384,303092.15951,315518.52288,320867.84496,364109.43307,377145.47368,399088.29032,427776.50794,430448.6036,437595.35714,426403.7234,439264.45783,445928.57143,466379.87013,474510.84706,451888.4086,443896.63636,447899.11702,444208.9759,459094.01316,473131.14754,466620.68966,466557.37705,444112.90323,463132.39437,457140.90909,462275.625,464723.50467,455024.41748,480043.5567,497597.91667,499541.45349,514060.42553,505630.34091
